match_id,match_seq_num,radiant_win,start_time,duration,tower_status_radiant,tower_status_dire,barracks_status_radiant,barracks_status_dire,first_blood_time,positive_votes,negative_votes,radiant_score,dire_score
2305518888,2020335138,False,1461070959,2427,0,1974,0,63,299,0,0,,
2305512039,2020340158,True,1461070795,2820,1974,0,63,0,88,0,0,,
2305486739,2020330166,True,1461070129,3128,1796,0,55,0,7,0,0,,
2305539276,2020332074,False,1461071526,1754,0,2046,0,63,77,0,0,,
2305531650,2020337160,False,1461071313,2027,0,2038,0,63,222,0,0,,
2305519764,2020335660,False,1461070997,2502,0,1956,3,63,5,0,0,,
2305518406,2020330389,True,1461070960,2186,2047,0,63,0,82,0,0,,
2305533038,2020332861,True,1461071358,1820,1972,260,63,51,80,0,0,,
2305496954,2020335083,False,1461070372,2937,0,1968,0,61,37,0,0,,
2305488718,2020338138,True,1461070183,3389,1574,0,63,0,317,0,0,,
2305535481,2020341630,False,1461071428,2049,0,1974,0,63,95,0,0,,
2305574122,2020331190,True,1461072396,887,2047,1542,63,15,18,0,0,,
2305589507,2020331936,True,1461072765,375,2047,1982,63,63,5,0,0,,
2305540946,2020336367,True,1461071560,1715,2047,0,63,0,210,0,0,,
2305499903,2020315029,False,1461070477,2402,0,2038,0,63,86,0,0,,
2303213498,2018389078,False,1460976805,3041,0,1974,0,63,263,0,0,,
2300193241,2015783127,True,1460863638,2089,1974,390,63,51,242,0,0,,
2305513285,2020337867,False,1461070815,2439,0,1972,3,63,90,0,0,,
2305541077,2020331058,True,1461071577,1363,1974,6,63,3,76,0,0,,
2305481011,2020332803,True,1461069985,3414,1798,0,63,0,24,0,1,,
2305496856,2020333979,False,1461070395,2820,0,1846,0,63,96,0,0,,
2305497395,2020339180,True,1461070396,3040,1824,6,63,3,8,0,0,,
2305501789,2020340823,True,1461070510,3020,1796,0,63,0,215,0,0,,
2305527718,2020332063,True,1461071212,2208,1982,262,63,51,112,0,0,,
2305470495,2020332630,True,1461069728,3642,1798,0,51,60,7,0,0,,
2305523704,2020342045,False,1461071098,2362,0,1972,0,63,53,0,0,,
2305520718,2020347697,True,1461070997,2783,1830,4,63,3,69,0,0,,
2305495762,2020332370,True,1461070359,2806,1846,384,63,48,294,0,0,,
2305522231,2020333561,True,1461071059,2172,2036,0,63,0,54,0,0,,
2305529098,2020335371,False,1461071233,2202,0,1956,0,63,165,0,0,,
2305544394,2020336137,True,1461071654,1660,2038,6,63,3,42,0,0,26,21
2305503477,2020332547,False,1461070569,2753,256,1972,48,63,196,0,0,,
2305539483,2020334580,True,1461071527,1899,1982,0,63,0,87,0,0,,
2305511523,2020338948,True,1461070772,2782,1926,1844,51,63,114,0,0,,
2305532047,2020337857,False,1461071330,2066,0,1972,0,63,58,0,0,,
2305545690,2020340042,True,1461071692,1663,2044,4,63,3,5,0,0,,
2305501998,2020332424,True,1461070524,2806,1972,6,63,3,162,0,0,,
2305508696,2020333987,False,1461070702,2549,0,2038,0,63,2,0,0,,
2305446733,2020335501,False,1461069083,3607,0,1926,0,51,165,0,0,,
2305538960,2020336629,True,1461071521,1771,1854,4,63,3,209,0,0,,
2305495562,2020332377,False,1461070353,2930,0,2036,0,63,155,0,0,,
2305549937,2020333390,False,1461071783,1522,6,2046,3,63,133,0,0,,
2305531873,2020339659,True,1461071296,2033,1982,0,63,16,12,0,0,,
2305484464,2020340676,True,1461070074,3294,1828,0,63,0,111,0,0,,
2305487601,2020330316,False,1461070155,2825,0,1588,0,63,12,0,0,,
2305457972,2020334806,False,1461069384,3960,0,1974,0,63,32,0,0,,
2305496333,2020338776,False,1461070380,3173,6,1920,51,52,138,0,0,,
2305515194,2020342169,True,1461070879,2779,388,0,51,0,31,0,0,,
2305578711,2020342992,False,1461072509,999,1974,1983,63,63,4,0,0,,
2305504945,2020314577,True,1461070602,2197,1974,384,63,48,6,0,0,,
2305482091,2020332094,True,1461070011,3223,2022,0,63,0,3,0,0,,
2305528993,2020335206,True,1461071240,2021,2046,0,63,0,0,0,0,,
2305534088,2020342080,True,1461071389,2253,1956,0,63,0,0,0,0,29,21
2305532054,2020334164,False,1461071308,1868,32,2038,12,63,86,0,0,,
2305513522,2020339269,True,1461070819,2741,1958,0,63,0,55,0,0,37,28
2305497794,2020343635,True,1461070412,3091,1924,256,51,48,74,0,0,,
2305483556,2020346650,False,1461070052,3288,0,1792,0,63,322,0,0,,
2305546475,2020333313,True,1461071715,1654,2047,4,63,3,49,0,0,,
2305532860,2020336616,False,1461071354,1812,0,1983,0,63,253,0,0,,
2305556352,2020332163,True,1461071941,1409,2047,4,63,3,105,0,0,,
2305511728,2020335370,True,1461070781,2605,1796,262,59,51,5,0,0,,
2305548001,2020341909,False,1461071747,1722,0,2047,0,63,125,0,0,,
2305461852,2020334738,True,1461069490,3780,1796,388,63,51,99,0,0,,
2305498722,2020334776,True,1461070443,2978,1792,390,48,51,144,0,0,,
2305533452,2020335732,True,1461071369,1981,1974,0,63,0,71,0,0,,
2305516710,2020337760,False,1461070911,2629,0,2038,0,63,88,0,0,,
2305512738,2020338984,False,1461070815,2535,0,1926,0,51,12,0,0,,
2305509170,2020333662,False,1461070707,2571,4,1796,35,63,0,0,0,40,41
2305494998,2020334448,True,1461070346,2890,1926,0,63,0,5,0,0,,
2305516177,2020335296,False,1461070898,2404,0,1968,1,61,8,0,0,,
2305491591,2020332859,False,1461070259,2947,0,1846,0,63,204,0,0,,
